0.792,0.252,0.146
0.93,0.844,0.201
0.806,0.508,0.381
0.566,0.32,0.073
0.996,0.656,0.484
0.953,0.894,0.456
0.906,0.768,0.008
0.545,0.371,0.437
0.968,0.573,0.122
0.638,0.202,0.237
0.923,0.822,0.099
0.91,0.797,0.006
0.324,0.246,0.329
0.608,0.585,0.055
0.999,0.38,0.155
0.929,0.843,0.194
0.986,0.613,0.326
0.54,0.585,0.431
1,1,1
0.987,0.97,0.837
0.942,0.87,0.337
0.993,0.497,0.25
0.494,0.241,0.128
0.183,0.087,0.047
